ID	REGION	LOCALIDAD	PROVINCIA	GENERO	EDAD	GRUPOS_EDAD	NIV_SOCIOE	NSE_3	TAMANIO	EXPANSOR	PONDERADOR	MUSICA1	MUSICA2	MUSICA2-1	MUSICA3	MUSICA4	MUSICA5_1	MUSICA5_2	MUSICA5_3	MUSICA5_4	MUSICA5_5	MUSICA5_6	MUSICA5_7	MUSICA5_8	MUSICA5_9	MUSICA5_10	MUSICA5_11	MUSICA5_12	MUSICA5_13	MUSICA5_14	MUSICA5_15	MUSICA5_16	MUSICA5_17	MUSICA5_18	MUSICA5_19	MUSICA5-1	MUSICA6-1	MUSICA6-2	MUSICA7_1	MUSICA7_2	MUSICA7_3	MUSICA7_4	MUSICA7_5	MUSICA7_6	MUSICA7_7	MUSICA7_8	MUSICA7_9	MUSICA8_1	MUSICA8_2	MUSICA8_3	MUSICA8_4	MUSICA8_5	MUSICA8_6	MUSICA8_7	MUSICA8_8	MUSICA8_9	MUSICA8_10	MUSICA8_11	MUSICA8_12	MUSICA8_13	MUSICA9	MUSICA10	MUSICA10-1	MUSICA11	MUSICA12	MUSICA13	MUSICA14	MUSICA14-1
11	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	30	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1976	0.230	SI			Todos o casi todos los días	Algunas veces a la semana	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	SI			Algunas veces al anio o menos	1	1	2	
12	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	64	50 a 64 anios	ABC1	ABC1	Mas de 400mil	3304	0.380	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			SI	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	SI			Algunas veces al anio o menos	1	1	10000	
13	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	42	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1889	0.220	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	SI			Algunas veces al anio o menos	1	1	3000	
14	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	40	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1478	0.170	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		$null$		NO	NO	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	SI			Algunas veces al anio o menos	2	2	3	
15	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	45	30 a 49 anios	ABC1	ABC1	Mas de 400mil	5980	0.690	SI			Algunas veces a la semana	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			SI	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	SI			Algunas veces al anio o menos	2	2	6000	
16	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	54	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1933	0.220	SI			Algunas veces a la semana	Algunas veces a la semana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$				1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	2	1	4000	
17	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	37	30 a 49 anios	ABC1	ABC1	Mas de 400mil	3578	0.410	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	SI			Algunas veces al anio o menos	1	1	3	
18	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	25	18 a 29 anios	ABC1	ABC1	Mas de 400mil	3148	0.360	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	3	0	25000	
19	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	33	30 a 49 anios	ABC1	ABC1	Mas de 400mil	14031	1.610	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	2	2	5000	
20	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	60	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1869	0.210	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
21	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	50	50 a 64 anios	ABC1	ABC1	Mas de 400mil	6854	0.790	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0		$null$		SI	NO	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
22	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	49	30 a 49 anios	ABC1	ABC1	Mas de 400mil	25759	2.950	SI			Algunas veces a la semana	Algunas veces a la semana	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	NO	Falta de tiempo			$null$	$null$	$null$	
23	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	42	30 a 49 anios	ABC1	ABC1	Mas de 400mil	6516	0.750	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	SI			Algunas veces al anio o menos	1	0	3	
24	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	55	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1710	0.200	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	NO	Miedo al contagio			$null$	$null$	$null$	
25	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	38	30 a 49 anios	ABC1	ABC1	Mas de 400mil	2020	0.230	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	2	1	2	
26	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	32	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1464	0.170	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	1	0	3	
27	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	50	50 a 64 anios	ABC1	ABC1	Mas de 400mil	2950	0.340	SI			Algunas veces al mes	Algunas veces al mes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
28	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	34	30 a 49 anios	ABC1	ABC1	Mas de 400mil	20767	2.380	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		$null$		SI	NO	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	SI			Algunas veces al anio o menos	2	1	3800	
29	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	32	30 a 49 anios	ABC1	ABC1	Mas de 400mil	14332	1.640	SI			Algunas veces a la semana	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
30	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	56	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1872	0.210	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
31	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	58	50 a 64 anios	ABC1	ABC1	Mas de 400mil	4555	0.520	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	SI			Algunas veces al anio o menos	2	2	3	
32	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	41	30 a 49 anios	ABC1	ABC1	Mas de 400mil	3193	0.370	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	1	0	15000	
33	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	51	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1710	0.200	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
34	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	29	18 a 29 anios	ABC1	ABC1	Mas de 400mil	1810	0.210	SI			Todos o casi todos los días	Nunca	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$		$null$				0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
35	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	60	50 a 64 anios	ABC1	ABC1	Mas de 400mil	6209	0.710	SI			Algunas veces a la semana	Algunas veces a la semana	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
36	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	47	30 a 49 anios	ABC1	ABC1	Mas de 400mil	4434	0.510	SI			Todos o casi todos los días	Todos o casi todos los días	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$				0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	SI			Algunas veces al anio o menos	5	5	2	
37	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	32	30 a 49 anios	ABC1	ABC1	Mas de 400mil	2551	0.290	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	SI			Algunas veces al anio o menos	5	3	6000	
38	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	66	65 anios y mas	ABC1	ABC1	Mas de 400mil	3862	0.440	SI			Todos o casi todos los días	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
39	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	23	18 a 29 anios	ABC1	ABC1	Mas de 400mil	2176	0.250	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0		$null$		NO	NO	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	SI			Todos o casi todos los meses	10	10	2	
40	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	70	65 anios y mas	ABC1	ABC1	Mas de 400mil	2524	0.290	SI			Todos o casi todos los días	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	NO	Falta de tiempo			$null$	$null$	$null$	
41	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	46	30 a 49 anios	ABC1	ABC1	Mas de 400mil	4344	0.500	SI			Todos o casi todos los días	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	SI			Algunas veces al anio o menos	1	1	3500	
42	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	32	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1264	0.140	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
43	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	63	50 a 64 anios	ABC1	ABC1	Mas de 400mil	3738	0.430	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	NO	No hay ninguno cerca			$null$	$null$	$null$	
44	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	38	30 a 49 anios	ABC1	ABC1	Mas de 400mil	5392	0.620	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	SI			Algunas veces al anio o menos	2	1	4900	
45	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	31	30 a 49 anios	ABC1	ABC1	Mas de 400mil	14974	1.720	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		$null$			NO	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	NO	Porque no consiguio entradas/ se enteró tarde	me entere despues o no sabia que tocaban		$null$	$null$	$null$	
46	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	41	30 a 49 anios	ABC1	ABC1	Mas de 400mil	5844	0.670	SI			Todos o casi todos los días	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	SI			Algunas veces al anio o menos	1	0	3	
47	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	54	50 a 64 anios	ABC1	ABC1	Mas de 400mil	4823	0.550	SI			Algunas veces a la semana	Algunas veces a la semana	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	NO	Porque no consiguio entradas/ se enteró tarde	No consegui entradas		$null$	$null$	$null$	
48	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	28	18 a 29 anios	ABC1	ABC1	Mas de 400mil	1902	0.220	SI			Todos o casi todos los días	Todos o casi todos los días	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI		0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
49	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	76	65 anios y mas	ABC1	ABC1	Mas de 400mil	5985	0.690	SI			Algunas veces a la semana	Nunca	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$		$null$				0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
50	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	52	50 a 64 anios	ABC1	ABC1	Mas de 400mil	1224	0.140	SI			Algunas veces a la semana	Algunas veces a la semana	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	NO	No sale	no sale		$null$	$null$	$null$	
51	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	49	30 a 49 anios	ABC1	ABC1	Mas de 400mil	4346	0.500	SI			Todos o casi todos los días	Todos o casi todos los días	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$			NO	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
52	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	45	30 a 49 anios	ABC1	ABC1	Mas de 400mil	4626	0.530	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		NO	SI	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	SI			Algunas veces al anio o menos	1	1	3	
53	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	35	30 a 49 anios	ABC1	ABC1	Mas de 400mil	1493	0.170	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	SI	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	NO	Falta de tiempo			$null$	$null$	$null$	
54	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	32	30 a 49 anios	C3	C2+C3	Mas de 400mil	9773	1.120	SI			Algunas veces a la semana	Algunas veces a la semana	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NO	Motivos económicos			$null$	$null$	$null$	
55	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	47	30 a 49 anios	C2	C2+C3	Mas de 400mil	2878	0.330	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	NO	Falta de tiempo			$null$	$null$	$null$	
56	CABA	CABA	Ciudad Autónoma de Buenos Aires	Varón	56	50 a 64 anios	C2	C2+C3	Mas de 400mil	3495	0.400	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		NO	NO	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
57	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	47	30 a 49 anios	C3	C2+C3	Mas de 400mil	2990	0.340	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		SI	NO	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	SI			Algunas veces al anio o menos	4	4	3	
58	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	29	18 a 29 anios	C2	C2+C3	Mas de 400mil	4789	0.550	SI			Todos o casi todos los días	Todos o casi todos los días	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$		NO	NO	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
59	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	61	50 a 64 anios	C2	C2+C3	Mas de 400mil	1836	0.210	SI			Algunas veces al mes	Algunas veces al mes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		$null$				0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NO	Problemas de salud			$null$	$null$	$null$	
60	CABA	CABA	Ciudad Autónoma de Buenos Aires	Mujer	62	50 a 64 anios	C2	C2+C3	Mas de 400mil	4160	0.480	NO	No le gusta/ interesa la música				$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$		$null$				$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	$null$	NO	No le gusta/ no le interesa			$null$	$null$	$null$	
